Date,EUR/USD,JPY/USD,GBP/USD,AUD/USD,NZD/USD,CAD/USD,CHF/USD,NOK/USD,SEK/USD
2000-01-03,,,,,,,,,
2000-01-04,0.0022242647340482953,-0.017515001027999678,-0.0013428556006823713,-0.009103385579968447,-0.007619084476439517,-0.004627629371876158,0.002320725107481284,,
2000-01-05,0.0016408478175964937,-0.011091825742540206,0.0029275453941256385,0.0034994330120283446,-0.005752652489449811,0.00246109425707256,0.001698448644226631,,
2000-01-06,-0.0019306888901051518,-0.010902968708976418,0.0034046725495521404,-0.004109282093286472,-0.0057859370670438875,-0.007547205635382854,-0.0015439249631650006,,
2000-01-07,-0.0016440214524419136,0.001877543057030424,-0.005477464854211225,0.0006098490812582531,0.0,0.002182930358216036,-0.005111931200144119,,
2000-01-10,-0.002713705871596162,0.0010415582651844748,-0.00109910251035229,0.0013708021337786216,-0.0019361090268664404,0.0005813108723499911,-0.002799379744135206,,
2000-01-11,0.006674107087693218,-0.007418664190250335,0.006819315272054967,0.002735979818874624,0.0019361090268664007,-0.0005813108723499314,0.005900638238424469,,
2000-01-12,-0.0013505693737261072,-0.00020977554094127554,0.0,0.0,0.0019323677510538603,0.0015977924816900388,-0.0020147236570896955,,
2000-01-13,-0.005711811840374863,-0.002731094134547819,-0.0008498756050914531,0.015214573820877196,0.01151644206155908,0.0024643050812684394,-0.006380848044548513,,
2000-01-14,-0.011227845556821008,0.0041985996390027785,-0.00731442978229622,-0.002394852214801405,-0.005741642567675171,-0.001158916542864186,-0.013043321555271575,,
2000-01-17,-0.0045266757083263845,0.008448550904929391,-0.0017144260873295687,-0.004505865238365385,0.0,-0.00043494020257969557,-0.004915573205533472,,
2000-01-18,0.0023643001851866045,-0.00834381144424187,0.0026927800848980774,0.001955034835803295,-0.003846158587478387,0.0010145663599466506,0.0034909587975960957,,
2000-01-19,9.839130228816566e-05,0.0030326820628985263,0.004390786417489539,-0.002557353781885197,0.0,-0.0013046316266649694,-0.0003168567833861448,,
2000-01-20,0.004025730803890406,0.0,0.0063084037909788455,0.0033082736940201135,-0.009680617710723507,0.003908799765052639,0.00568811772223061,,
