underlying,chain_size,pulled_size,coverage_pct
SPY US Equity,6296,500,7.9
QQQ US Equity,5292,500,9.4
IWM US Equity,2298,500,21.8
AAPL US Equity,2512,500,19.9
MSFT US Equity,2718,500,18.4
NVDA US Equity,3020,500,16.6
AMZN US Equity,1752,500,28.5
GOOGL US Equity,3330,500,15.0
TSLA US Equity,3986,500,12.5
META US Equity,5080,500,9.8
